actual,proposed
0.30000463128089905,0.20000000298023224
0.3015044629573822,0.20000000298023224
0.30300432443618774,0.20000000298023224
0.3045041859149933,0.20000000298023224
0.30600404739379883,0.20000000298023224
0.30750390887260437,0.20000000298023224
0.3090038001537323,0.20000000298023224
0.15238399803638458,0.18346917629241943
0.15276455879211426,0.17111836373806
0.15529286861419678,0.16210360825061798
0.15776026248931885,0.1553993970155716
0.1601690798997879,0.15035070478916168
0.15519747138023376,0.14601123332977295
0.1531791090965271,0.14263422787189484
0.1467219442129135,0.13974976539611816
0.13588865101337433,0.13690540194511414
0.12945690751075745,0.1343415528535843
0.11864502727985382,0.1317453533411026
0.10351292043924332,0.1288975179195404
0.0841178223490715,0.12558819353580475
0.06923216581344604,0.12219846248626709
0.05006934329867363,0.11849983781576157
0.026684356853365898,0.1143656000494957
0.003488851711153984,0.10982926934957504
0.0,0.10529442876577377
0.0,0.10025789588689804
0.0,0.09462227672338486
0.0,0.088526152074337
0.0,0.08232907205820084
0.0,0.07605216652154922
0.0,0.06970535218715668
0.0,0.0632970780134201
0.0,0.057066742330789566
0.0,0.05072095990180969
0.0,0.044271085411310196
0.0,0.038217693567276
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.05976676940917969
0.0,0.062378134578466415
0.00997406430542469,0.06501992046833038
0.022319070994853973,0.0674743503332138
0.043141577392816544,0.07025225460529327
0.05925390496850014,0.07304125279188156
0.075090691447258,0.07584203034639359
0.09938178211450577,0.07912643998861313
0.11894083023071289,0.08253750205039978
0.1294858455657959,0.08556710928678513
0.15294551849365234,0.0890563577413559
0.1629919409751892,0.0921042263507843
0.17725719511508942,0.09512806683778763
0.19132819771766663,0.09813805669546127
0.20085477828979492,0.10090290009975433
0.20590564608573914,0.10331954061985016
0.2109055519104004,0.10531096160411835
0.22021591663360596,0.10738817602396011
0.2207016497850418,0.10907749831676483
0.22556547820568085,0.1105581745505333
0.2260282337665558,0.11180991679430008
0.22215233743190765,0.11258363723754883
0.21835651993751526,0.11305174231529236
0.20591920614242554,0.11282282322645187
0.20239366590976715,0.11253996193408966
0.1858556866645813,0.11150885373353958
0.17391927540302277,0.11018604785203934
0.1577950268983841,0.10839427262544632
0.13753558695316315,0.10602560639381409
0.11754992604255676,0.10325006395578384
0.09782540798187256,0.10015862435102463
0.07399089634418488,0.09662460535764694
0.04609508067369461,0.09248083084821701
0.018543172627687454,0.0879448726773262
3.7017241993453354e-05,0.08353684842586517
0.0,0.07758142054080963
0.0,0.07119181007146835
0.0,0.06424817442893982
0.0,0.05713828280568123
0.0,0.050847820937633514
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.04511348903179169
0.0,0.04726934805512428
0.0,0.04906543716788292
0.0,0.05084594711661339
0.0,0.05262123793363571
0.0,0.0543864406645298
0.004526791628450155,0.05615191161632538
0.014730039983987808,0.05792626366019249
0.024763567373156548,0.05971245467662811
0.030275912955403328,0.06125549226999283
0.031334370374679565,0.06240316107869148
0.036721475422382355,0.06349264830350876
0.037659935653209686,0.06431461125612259
0.03857304900884628,0.06494064629077911
0.04817967116832733,0.0659092366695404
0.05328323692083359,0.06688641756772995
0.06266822665929794,0.06810624897480011
0.05884190648794174,0.0687827616930008
0.050709523260593414,0.0688462108373642
0.03832881897687912,0.06819552928209305
0.030473140999674797,0.06729847937822342
0.027074240148067474,0.06645341962575912
0.019349420443177223,0.06540197879076004
0.01607506535947323,0.0644480288028717
0.012827565893530846,0.06355007737874985
0.013964492827653885,0.0629410669207573
0.006347143556922674,0.06204793229699135
0.0031744157895445824,0.06119474396109581
2.2924399672774598e-05,0.06037893891334534
0.0,0.059570685029029846
0.0,0.05852546915411949
0.0,0.05756516754627228
0.0,0.05640731751918793
0.0,0.05536134913563728
0.24316257238388062,0.05437842011451721
0.24158048629760742,0.15516184270381927
0.240006223320961,0.15497373044490814
0.238438680768013,0.15473175048828125
0.2412363886833191,0.15481610596179962
0.23962022364139557,0.15491154789924622
0.23801171779632568,0.1547420471906662
0.23641033470630646,0.15466433763504028
0.23481501638889313,0.15455374121665955
0.2332252711057663,0.15440058708190918
0.23164063692092896,0.1542743742465973
0.22570110857486725,0.153895303606987
0.21546685695648193,0.15305554866790771
0.2053537666797638,0.15192167460918427
0.19535592198371887,0.1506049782037735
0.18110856413841248,0.14885173738002777
0.16702581942081451,0.14689840376377106
0.15309925377368927,0.14452996850013733
0.13932135701179504,0.14208999276161194
0.12132584303617477,0.13929927349090576
0.10352461785078049,0.13624346256256104
0.08154941350221634,0.13275504112243652
0.06416923552751541,0.12918414175510406
0.03823497146368027,0.1250680536031723
0.012577012181282043,0.12053649872541428
0.0,0.11548342555761337
0.0,0.1102728620171547
0.0,0.10469026118516922
0.0,0.0988352969288826
0.0,0.09253761172294617
0.0,0.08591011166572571
0.0,0.07926879823207855
0.0,0.07284044474363327
0.0,0.06608083099126816
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.09096681326627731
0.0,0.08727416396141052
0.0,0.08466745913028717
0.0,0.08262650668621063
0.0,0.08090324699878693
0.0,0.07972356677055359
0.0,0.0786668062210083
0.0,0.07745718210935593
0.0,0.07637442648410797
0.0,0.07538340240716934
0.0,0.0747055783867836
0.0,0.07447005063295364
0.0,0.07479069381952286
0.0,0.07529129087924957
0.0,0.07568452507257462
0.0,0.0757320299744606
0.0,0.07579945027828217
0.0,0.07587122917175293
0.0,0.075703464448452
0.0,0.07560995221138
0.0,0.07532268017530441
0.0,0.0746554583311081
0.0,0.0737181082367897
0.0,0.0725841298699379
0.0,0.07178442180156708
0.0,0.07099391520023346
0.0,0.07018526643514633
0.0,0.06914090365171432
0.0,0.06768082827329636
0.09990354627370834,0.06615809351205826
0.0964675024151802,0.15105393528938293
0.10171008110046387,0.15048177540302277
0.10679329186677933,0.1502571552991867
0.1073642298579216,0.149997279047966
0.11220724880695343,0.14996840059757233
0.11254680156707764,0.14989501237869263
0.1171669065952301,0.1499468982219696
0.1172918826341629,0.14991571009159088
0.11734601855278015,0.1498074233531952
0.12169082462787628,0.1498907208442688
0.11719101667404175,0.14960648119449615
0.11269049346446991,0.14908316731452942
0.10382921248674393,0.1481199562549591
0.0993848368525505,0.1471147984266281
0.09493425488471985,0.14604167640209198
0.0861181765794754,0.14467787742614746
0.07735525071620941,0.14313173294067383
0.06864213943481445,0.14142800867557526
0.05561661347746849,0.13935911655426025
0.04269520938396454,0.13703660666942596
0.029871657490730286,0.13454420864582062
0.021500252187252045,0.13212737441062927
0.013155543245375156,0.12977629899978638
0.004835963249206543,0.12748228013515472
0.18126925826072693,0.20000000298023224
